Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
../recorded_data/IMG/robocam_2018_12_15_18_49_19_200.jpg;0;0;1;0;99.66999;85.58897;0.0002360451;56.82556;-6.598455E-08
../recorded_data/IMG/robocam_2018_12_15_18_49_19_266.jpg;0;0;0;0;99.66999;85.58897;0.0002360908;56.82556;-2.194035E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_19_333.jpg;0;0;0;0;99.66999;85.58897;0.0002360451;56.82556;-6.598455E-08
../recorded_data/IMG/robocam_2018_12_15_18_49_19_400.jpg;0;0;0;0;99.66999;85.58897;0.0002360908;56.82556;-2.194035E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_19_467.jpg;0;0;0;0;99.66999;85.58897;0.0002360299;56.82556;-1.48449E-08
../recorded_data/IMG/robocam_2018_12_15_18_49_19_533.jpg;0;0;0;0;99.66999;85.58897;0.0002360756;56.82556;-1.682639E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_19_599.jpg;0;0;0;0;99.66999;85.58897;0.0002360299;56.82556;-1.48449E-08
../recorded_data/IMG/robocam_2018_12_15_18_49_19_667.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_19_733.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_19_799.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_19_866.jpg;0;0;0;0;99.66999;85.58897;0.0002360908;56.82556;-2.194035E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_19_936.jpg;0;0;0;0;99.66999;85.58897;0.0002360451;56.82556;-6.598455E-08
../recorded_data/IMG/robocam_2018_12_15_18_49_20_001.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_20_068.jpg;0;0;0;0;99.66999;85.58897;0.0002358144;56.82556;-4.130841E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_20_133.jpg;0;0;0;0;99.66999;85.58897;0.0002358601;56.82556;-5.665031E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_20_201.jpg;0;0;0;0;99.66999;85.58897;0.0002358144;56.82556;-4.130841E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_20_267.jpg;0;0;0;0;99.66999;85.58897;0.0002358449;56.82556;-5.153635E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_20_333.jpg;0;0;0;0;99.66999;85.58897;0.0002358144;56.82556;-4.130841E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_20_400.jpg;0;0;0;0;99.66999;85.58897;0.0002358601;56.82556;-5.665031E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_20_466.jpg;0;0;0;0;99.66999;85.58897;0.0002358296;56.82556;-4.642238E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_20_533.jpg;0;0;0;0;99.66999;85.58897;0.0002358296;56.82556;-4.642238E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_20_599.jpg;0;0;0;0;99.66999;85.58897;0.0002358296;56.82556;-4.642238E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_20_666.jpg;0;0;0;0;99.66999;85.58897;0.0002357992;56.82556;-3.619445E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_20_733.jpg;0;0;0;0;99.66999;85.58897;0.0002360037;56.82556;-3.010146E-07
../recorded_data/IMG/robocam_2018_12_15_18_49_20_799.jpg;0;0;0;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
